id,__twarcretrieved_at,,text_for_analysis
360,5/3/2024,Democrat,kean s position is obviously not pro-choice pro-choice means that while the decision may be complicated women make it with their families and doctors women have control over their bodies not the government
361,5/3/2024,Republican,keeping our communities safe isn t a partisan or political issue but da gascon is behaving like the penguin from gotham city enabling the criminals time and again gascon has put criminals before victims and local families n n
362,5/3/2024,Democrat,knocked doors w my good friend lauraforaz who s running for house in the az leg s new ld4 when i ask people about issues important to them many can be solved at the state leg which is why voting for great candidates all the way down ballot is crucial- particularly this cycle
363,5/3/2024,Republican,kobchrisramirez paulhaidle kob4 in order for that to happen you would have to vote for change when you have a monopoly of thought there is no deviation from that -it doesn t matter- they will not vote against their party so what we see is that party tribalism overtakes what is best for new mexicans
364,5/3/2024,Republican,komonews i absolutely hate it a homeless gender non-conforming troll has nothing to do with a kraken for god sakes seattlekraken really
365,5/3/2024,Republican,ksbehera mlancia45 you too thank you
366,5/3/2024,Democrat,ksorbs you have no clue why a woman would choose an abortion nyou have no idea of the viability of a fetus at any stage nand most of all who made you god all male decider that woman s decision maker nif so you pay for her healthcare medical bills child support and child s college
367,5/3/2024,Republican,kyledcheney hillary had classified documents on anthony weiner s laptop amp nothing was done n nunlike hillary trump had full authority to declassify at will he says the words amp it s done both he and his wh lawyers say that was done biden can t waive prior declassification to entrap trump
368,5/3/2024,Democrat,ladolcevitaone repgosar omg i just laughed so hard i had to do the pee dance
369,5/3/2024,Republican,landsman played a central role in the most corrupt city council in cincinnati history while aligning himself with the far-left fringe of the dem party nwhile i was working tirelessly to save small businesses and jobs during the pandemic you were pushing to defund the police
370,5/3/2024,Democrat,larrytenney claylacy burdickca7 kackleyz rollcall dccc only voters can drain the swamp
371,5/3/2024,Democrat,last day to register and vote in the primary is this week
372,5/3/2024,Republican,last night i was welcomed by an energized and passionate crowd at the sussexcountygop beefsteak n na tax-raising congressman who votes 100 of the time with joe biden amp nancy pelosi is sussex county s worst enemy n nvote november 8th
373,5/3/2024,Republican,last night s debate performance solidified what the cook report already knew we are leading in this race and it is time to come together and defeat abigail spanberger and let her stay in henrico county n va07
374,5/3/2024,Democrat,launched our final gotv weekend with 1199seiu - i couldn t ask for more amazing partners in defending democracy n nyou can vote early today 11 05 or tomorrow 11 06 find your polling place and make a plan to vote by visiting
375,5/3/2024,Republican,laura_devereaux pattymurray smileyforwa well i know plenty of women supporting tiffany and plenty of lies patty has told n nbut the beautiful thing about this country is that you every have a right to your opinion and your vote
376,5/3/2024,Republican,laurenboebert many people don t know this when they just bought the democrats talking points also president lincoln who led the civil war to free the slaves was a republican do your own research the truth shall set you free
377,5/3/2024,Democrat,learn more about my education platform and consider joining me in this fight by visiting my campaign website here
378,5/3/2024,Democrat,learned about the work of the joint institute for global food water amp energy security its a partnership of jnfusa uarizona amp israel s arava region w focuses on tech amp ed in arid regions particularly helping communities in africa it also applies to our climate in az
379,5/3/2024,Republican,lee zeldin standing up for his opponent s medical freedom is true leadership
380,5/3/2024,Republican,let s add seancasten and marie4congress to that list
381,5/3/2024,Democrat,let s be clear republicans will gut social security and medicare and nunnforcongress will rubber-stamp their extremist agenda n
382,5/2/2024,Democrat,let s keep it going n n
383,5/3/2024,Democrat,let s send sam a proud north carolinian and a tough fighter to congress
384,5/3/2024,Democrat,let s show mitch the power of this grassroots team donate 6 13 or 22 help us flip ohio blue and expand the senate majority n n
385,5/3/2024,Republican,like i tweeted a few days ago going after elon musk would be another democrat failure n nand here we are
386,5/3/2024,Democrat,look folks i m not a millionaire and i don t have billionaire friends like jd i m relying on team ryan can you chip in 5 to keep our momentum going n n
387,5/3/2024,Democrat,looking forward to spending the day criss-crossing district 10 with senator stabenow
388,5/3/2024,Democrat,losing power can be catastrophic for families and small businesses the bipartisaninfrastructuredeal will reinvest in our power infrastructure making our grid cleaner and more reliable
389,5/3/2024,Democrat,love meeting your fur kids on the campaign trail do you have pet that s supporting the campaign show us the pics in the comments please
390,5/3/2024,Republican,made many new friends at the rockford summer celebration the community here is really something special
391,5/3/2024,Democrat,madison cawthorn showed up on january 6 not just ready but eager for violence his words actions and reactions all show a guy who was looking forward to seeing blood spilled n nrt if you think it s past time for the january6thcmte to subpoena madison cawthorn
392,5/3/2024,Republican,make america great again
393,5/3/2024,Republican,make plans to attend the red wave rally we must develop large active volunteer teams to win cd4 my team is growing fast and we run hard bring the friend and a coworker pizza salad soda votejeroneforcongress
394,5/3/2024,Democrat,man55rowdy gavinnewsom eleniforca senalexpadilla tonythurmond thanks
395,5/3/2024,Democrat,marceelias christysmithca ahh the ability for your own team to create the maps to the disadvantage of all others - and john roberts wants to review amp approve n nkarma for the north carolina dems excluding a green party candidate unfairly
